page;page-href;linkToDockerfile
"Previous";"https://github.com/search?p=75&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/AllenBiehle/jumbo/blob/9c82e5b4db4856758442c5e0a7ef7e11faf42e5f/generic-unix/docker/dockerfiles/allen-dockerfiles/base/Dockerfile"
"Previous";"https://github.com/search?p=24&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/powellquiring/dockerdemo/blob/04dcfebbc6f8e32e05f00c68ec5eae20f1b9a66d/debian/Dockerfile"
"Previous";"https://github.com/search?p=24&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/vairamuthu-shanmugaraj/Tomcat/blob/e5c3053079e4027e9af793ae2af12666c3a7fb50/Dockerfile"
"Previous";"https://github.com/search?p=42&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/lborguetti/debian-tools/blob/6c2dd37f83a8c8ec163cdd39c3bbcd3abbafb895/Dockerfile"
"Previous";"https://github.com/search?p=89&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/yorick.dockerfile"
"Previous";"https://github.com/search?p=46&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/adamroddick/adamroddick.github.io/blob/6bde41453cae8093ebc2686bc2d3f761cb817ccb/Dockerfile"
"Previous";"https://github.com/search?p=82&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/cactusthinking/docker-files/blob/8fde6c0f07d352617dd3d8c5fddeaf76a4de58d9/jenkins/Dockerfile"
"Previous";"https://github.com/search?p=62&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/tianon/dockerfiles/blob/3574be26b3ee6a670277dd538e966645bcda6e57/wine/64/Dockerfile"
"Previous";"https://github.com/search?p=84&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/gnuplot.dockerfile"
"Previous";"https://github.com/search?p=17&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/DaveBlooman/migrate-ready/blob/df48d9e9b4d7374f480f9347db92dfea9fdb49af/Dockerfile"
"Previous";"https://github.com/search?p=67&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/gregarmer/python-ldap-docker/blob/38a77583c2189c2c298f3d96391f9253211f0d91/Dockerfile"
"Previous";"https://github.com/search?p=49&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/nuxeo/nuxeo-wordpress-plugin/blob/53ee1e453b3ec01fecc0bdb0bbca93e0c9f7a040/docker/ssl-proxy/Dockerfile"
"Previous";"https://github.com/search?p=88&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/python.dockerfile"
"Previous";"https://github.com/search?p=76&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/evermax/dockerfiles/blob/c2f9aa469170b45ac645d26a48bb0758a03bddf4/basic-vim/Dockerfile"
"Previous";"https://github.com/search?p=61&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/suchkultur/sidomotest/blob/5fa813aeb77b856c90b96fbfe0b9a7eff669f304/avconv/Dockerfile"
"Previous";"https://github.com/search?p=30&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/numeralti/go-bimetrics/blob/5e23df6e866cc65e09be9d4e460a3fe0fb0eee27/ops/dev-checks/Dockerfile"
"Previous";"https://github.com/search?p=80&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/evermax/basic-vim-docker/blob/dbc5038cbd2c32c7dd625950036ea681c9002c8b/Dockerfile"
"Previous";"https://github.com/search?p=39&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/anrossi/docker-essgeo/blob/0e1c18bb8a4b20318cc2c19d0fbc0339b7cd252e/proj4-ubuntu/Dockerfile"
"Previous";"https://github.com/search?p=21&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/sherzberg/docker-workshop/blob/8548360836c3022ec50c6ef55453385ecb66ab98/_includes/building_and_using_images/2/Dockerfile"
"Previous";"https://github.com/search?p=4&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/talwrii/dockerjail/blob/1ca1e3c1f080b684dbb0d8b603aeca8fac060f8a/machines/default/Dockerfile"
"Previous";"https://github.com/search?p=38&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/webskin/docker-debian-base/blob/d5f3d304c169bed33a7626f9101061068b8f9024/Dockerfile"
"Previous";"https://github.com/search?p=33&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/rev112/playterminal-images/blob/e7877c30d04f0633602052e2d75996a5acc1dc0e/game-bsdgames-base/Dockerfile"
"Previous";"https://github.com/search?p=74&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/benjaminguttmann-avtq/concourse_ci_blog/blob/360cc7f684d13a35387d2ba3e4729d88d160657a/Dockerfile"
"Previous";"https://github.com/search?p=95&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/joaquinbucca/ml-proxy/blob/9e1d1c1b0cb7754704aa267668fc22a74e6f0cbe/docker/cassandra/Dockerfile"
"Previous";"https://github.com/search?p=51&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/pveber/bistro/blob/d86f206447d90cb6bd9866a17fd2b720ea8ddd1b/etc/docker-images/ncbi-blast/2.4.0/Dockerfile"
"Previous";"https://github.com/search?p=98&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/crazycode/docker-php5/blob/0323be71267032295ddfbd498f8afcabc50312d1/Dockerfile"
"Previous";"https://github.com/search?p=10&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/abhishekgaurav1/dockerfiles/blob/f2d41c6a8fb7cf315f9fcafdd41fbf992a4a10fb/Dockerfile"
"Previous";"https://github.com/search?p=47&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/CenturyLinkLabs/docker-openstack-cli/blob/4c5b92963444bcf0a0649dcde52280a51ab00b26/Dockerfile"
"Previous";"https://github.com/search?p=8&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/HackEmergency/hack-emergency/blob/017b5379e51af1eb034549744b98834df9125e6e/data_science/Dockerfile"
"Previous";"https://github.com/search?p=16&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/indy-golang/managing-dependencies/blob/26d7f11a1feb0515ade95bd2d0b5f5be4ee67a8e/1-simple-install/Dockerfile"
"Previous";"https://github.com/search?p=82&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/gartung/dockerfiles/blob/bd41da6821f21034c6a117684a53b07c219e20d9/ubuntu/Dockerfile"
"Previous";"https://github.com/search?p=30&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/coduno/docker/blob/3d6c6a3ae7fca8a050f5cc81e53651cb36d19627/groovy/Dockerfile"
"Previous";"https://github.com/search?p=38&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/kenpu/docker-sqlite3-cli/blob/b6286c280aaf91f8c200e4e01ad3a8e25c7eb31b/docker/Dockerfile"
"Previous";"https://github.com/search?p=25&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/sasasin/jisui-linux/blob/bcab9c7055887f12325aa0f8478dccd8f599041d/Dockerfile"
"Previous";"https://github.com/search?p=68&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/powareverb/docker-java-armhf/blob/8817177c6475fcb134a27b56af3565e83e449a12/Dockerfile"
"Previous";"https://github.com/search?p=58&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/jonny-improbable/grafana-old/blob/a08809f8fe57095d948e16ac797c673cebd93249/docker/debtest/Dockerfile"
"Previous";"https://github.com/search?p=66&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/toxaco/docker_cluster/blob/62ea4d6ac1235470cafde9ce84f9eb935255c8f4/apps/demo/nginx/Dockerfile"
"Previous";"https://github.com/search?p=53&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/VideoWorker/VideoWorker/blob/1ca58bfe3741afcffef7eb4e3265bf7187ac719e/docker-mp4box/Dockerfile"
"Previous";"https://github.com/search?p=35&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/kizbitz/dockertest1/blob/0daa258bf64e139b17ce4cef1e38642dd8e8eacc/Dockerfile"
"Previous";"https://github.com/search?p=57&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/frioux/s3cmd.dkr/blob/2414f8f9993b5cd30c80f66ded64d82922c71f39/Dockerfile"
"Previous";"https://github.com/search?p=27&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/aep/docker-elixir/blob/5f2314de324cd1ecac8a31a1bc6c480078b16f1a/Dockerfile"
"Previous";"https://github.com/search?p=9&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/basho-labs/docker-images/blob/f6a7eef29fbbc820e9b27c7e5efbc7ccf58386fc/tools/build-essential/ubuntu/upgrade.Dockerfile"
"Previous";"https://github.com/search?p=8&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/mijime/sham/blob/d65ceb8e8641070cd8b968b9c122c9f818c247b4/docker/bash-4.0/Dockerfile"
"Previous";"https://github.com/search?p=31&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/r24y/llvm-ir-test/blob/d5cf7e7f1c33af6663224862437b82293b4f2c98/Dockerfile"
"Previous";"https://github.com/search?p=90&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/slang.dockerfile"
"Previous";"https://github.com/search?p=18&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/Program3r/rpi-openvpn-client/blob/0a125f289875e2f172b1264e62192a0e4cb952a1/Dockerfile"
"Previous";"https://github.com/search?p=52&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/peterpen-ctf/stepctf-2015/blob/7dd6154622e8af3374c0994f67bf18d133e6578a/Passgen/create/Dockerfile"
"Previous";"https://github.com/search?p=29&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/zubbat/base-debian/blob/67eddd291f39e738a5169346a73213bcb803d731/Dockerfile"
"Previous";"https://github.com/search?p=53&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/HEG-Arc/paleo-2015-gestionair-web/blob/8ca446581778bd875f47066175045f054b76d525/docker/postgres/Dockerfile"
"Previous";"https://github.com/search?p=4&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/yyuzhong/usedocker/blob/e20cb85e45dc53a75e6f4193d54718be2f1a646b/pl/Dockerfile"
"Previous";"https://github.com/search?p=18&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/offfffz/base-images/blob/36205a12dc4b56589446d6e1123262bc31300612/rails-nodejs/Dockerfile"
"Previous";"https://github.com/search?p=19&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/swehacker/docker/blob/c4850d4a4ec87fa4880a6333637999eeb0c6fb81/redis/Dockerfile"
"Previous";"https://github.com/search?p=16&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/kristie-test/test-repo/blob/af1787858ecfbd46044daf0ab835261220f8a9e4/Dockerfile"
"Previous";"https://github.com/search?p=22&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dogrunjp/docker-bottle/blob/7e4d3d559e5eb8ab67ab2f206f1e48a6584046da/Dockerfile"
"Previous";"https://github.com/search?p=88&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/ruby.dockerfile"
"Previous";"https://github.com/search?p=23&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/kamyh/pa-inphinity/blob/56b38db381a81881c49df09ae74ffa571eea1177/Project/attempts_archives/test_sshd/Dockerfile"
"Previous";"https://github.com/search?p=58&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/CancerCollaboratory/dockstore-tool-samtools-sort/blob/3fb71f2b8a6cfe9507ca126a2b024eb879dab6e4/Dockerfile"
"Previous";"https://github.com/search?p=9&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/attilagyorffy/docker-ruby21/blob/bb2088b4a3e3d5caea4afc15eca82dfa141237aa/Dockerfile"
